Name,Year,Latitude,Longitude,City,Country,Cuisine,Price,URL
Pfefferschiff,2019,47.83787,13.07917,Hallwang,Austria,Traditional,$$$$$,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff
Kilian Stuba,2019,47.34858,10.17114,Kleinwalsertal,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba
Carpe Diem,2019,47.80001,13.04006,Salzburg,Austria,French,$$$$$,https://guide.michelin.com/en/normandie/touques/restaurant/carpe-diem1184203
Esszimmer,2019,47.80685,13.03409,Salzburg,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer
aend,2019,48.18957,16.34115,Vienna,Austria,Modern ,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend
Das Loft,2019,48.21272,16.37931,Vienna,Austria,Modern ,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft
Edvard,2019,48.216503,16.36852,Vienna,Austria,Modern ,$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard
Le Ciel by Toni Mörwald,2019,48.20209,16.37156,Vienna,Austria,Traditional,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald
Pramerl & the Wolf,2019,48.20945,16.37174,Vienna,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf
SHIKI,2019,48.204067,16.37098,Vienna,Austria,Japanese,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki
Tian,2019,48.20513,16.37456,Vienna,Austria,Vegetarian,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian
Walter Bauer,2019,48.20923,16.37672,Vienna,Austria,Traditional,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer
Cipriani,2019,-22.96755,-43.17901,Rio de Janeiro,Brazil,Italian,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/cipriani
Lasai,2019,-22.95401,-43.19557,Rio de Janeiro,Brazil,Modern Cuisine,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/lasai
Mee,2019,-22.96764,-43.17925,Rio de Janeiro,Brazil,Asian,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/mee
