Name,Year,Latitude,Longitude,City,Country,Cuisine,Price,URL
Amador,2019,48.25406,16.35915,Vienna,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/amador
Geranium,2019,55.70393,12.57197,Copenhagen,Denmark,Innovative,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/geranium
8 1/2 Otto e Mezzo - Bombana,2019,22.28189,114.15839,Hong Kong,Hong Kong,Italian,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana
Bo Innovation,2019,22.27614,114.171,Hong Kong,Hong Kong,Innovative,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/bo-innovation
Caprice,2019,22.286646,114.15662,Hong Kong,Hong Kong,French,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/caprice
L'Atelier de Joël Robuchon,2019,22.281199,114.15816,Hong Kong,Hong Kong,French,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon
Lung King Heen,2019,22.28665,114.15674,Hong Kong,Hong Kong,Chinese,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lung-king-heen
Sushi Shikon,2019,22.28511,114.15208,Hong Kong,Hong Kong,Japanese,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-shikon
T'ang Court,2019,22.296572,114.1698,Hong Kong,Hong Kong,Chinese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/t-ang-court
Jade Dragon,2019,22.149137,113.56715,Macau,Macau,Chinese,$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/jade-dragon
Robuchon au Dôme,2019,22.189949,113.54395,Macau,Macau,French,$$$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/robuchon-au-dome
