Name,Year,Latitude,Longitude,City,Country,Cuisine,Price,URL
Ikarus,2019,47.79536,13.00695,Salzburg,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/ikarus
SENNS.Restaurant,2019,47.83636,13.06389,Salzburg,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/senns-restaurant
Konstantin Filippou,2019,48.21056,16.37996,Vienna,Austria,Modern,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/konstantin-filippou
Mraz & Sohn,2019,48.23129,16.37637,Vienna,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/mraz-sohn
Silvio Nickol Gourmet Restaurant,2019,48.20558,16.37693,Vienna,Austria,Modern,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/silvio-nickol-gourmet-restaurant
Steirereck im Stadtpark,2019,48.20229,16.3805,Vienna,Austria,Innovative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/steirereck-im-stadtpark
Oro,2019,-22.98601,-43.22471,Rio de Janeiro,Brazil,Innovative,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oro
D.O.M.,2019,-23.56618,-46.66742,Sao Paulo,Brazil,Innovative,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/d-o-m
Tuju,2019,-23.55653,-46.69083,Sao Paulo,Brazil,Innovative,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/tuju
a|o|c,2019,55.68305,12.58921,Copenhagen,Denmark,Modern,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/a%E2%80%9Ao%E2%80%9Ac
Kadeau Copenhagen,2019,55.67219,12.58848,Copenhagen,Denmark,Modern,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kadeau-copenhagen
noma,2019,55.68332,12.61006,Copenhagen,Denmark,Innovative,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/noma
Henne Kirkeby Kro,2019,55.72682,8.242021,Henne,Denmark,Traditional,$$$,https://guide.michelin.com/dk/en/southern-denmark/henne/restaurant/henne-kirkeby-kro
KOKS,2019,62.13667,-7.022025,Leynar,Denmark,Innovative,$$$$,https://guide.michelin.com/dk/en/faroe-islands/leynar/restaurant/koks558780
Spondi,2019,37.96525,23.742971,Athens,Greece,French,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/spondi
